
RN                     ,INSTANCE_NUMBER,METRIC_NAME_UNIT                                                           ,FIRST_MAXVAL,FIRST_AVERAGE,FIRST_STDDEV,SECOND_MAXVAL,SECOND_AVERAGE,SECOND_STDDEV
03/02 09:30-03/25 14:15,              3,Response Time Per Txn - CentiSeconds Per Txn                               ,       33.42,        18.99,        5.18,         7.98,          6.51,          .89
03/02 09:30-03/25 14:15,              4,Response Time Per Txn - CentiSeconds Per Txn                               ,       62.44,        20.32,       13.07,         3.88,          2.55,           .5
03/02 10:00-03/25 15:00,              1,Response Time Per Txn - CentiSeconds Per Txn                               ,        8.26,         4.52,        2.06,         1.37,          1.24,          .08
03/02 10:00-03/25 15:00,              2,Response Time Per Txn - CentiSeconds Per Txn                               ,      904.96,       254.65,      222.05,        11.57,          6.03,          2.2
03/02 10:00-03/25 15:00,              3,Response Time Per Txn - CentiSeconds Per Txn                               ,      508.59,       199.57,      157.74,         8.14,          6.13,         1.25
03/02 10:00-03/25 15:00,              4,Response Time Per Txn - CentiSeconds Per Txn                               ,     1390.71,       487.19,      402.01,         3.56,          2.43,          .47
03/02 10:30-03/25 15:45,              1,Response Time Per Txn - CentiSeconds Per Txn                               ,        6.67,         3.07,        1.61,         1.32,          1.23,          .06
03/02 10:30-03/25 15:45,              2,Response Time Per Txn - CentiSeconds Per Txn                               ,       36.87,        23.98,        6.77,         8.48,          6.08,          1.2
03/02 10:30-03/25 15:45,              3,Response Time Per Txn - CentiSeconds Per Txn                               ,       29.37,        20.47,        5.07,         6.94,          5.35,          .91
03/02 10:30-03/25 15:45,              4,Response Time Per Txn - CentiSeconds Per Txn                               ,       37.88,        24.35,        6.43,         3.02,          2.49,          .31
03/02 11:00-03/25 16:30,              1,Response Time Per Txn - CentiSeconds Per Txn                               ,        8.36,         3.54,        2.15,         1.46,          1.23,          .07
03/02 11:00-03/25 16:30,              2,Response Time Per Txn - CentiSeconds Per Txn                               ,       64.25,        22.67,       16.81,         8.71,          6.36,          .87
03/02 11:00-03/25 16:30,              3,Response Time Per Txn - CentiSeconds Per Txn                               ,       31.51,        23.71,        3.97,        10.52,           5.8,         1.58
03/02 11:00-03/25 16:30,              4,Response Time Per Txn - CentiSeconds Per Txn                               ,       32.59,        15.37,        6.24,         4.07,          2.71,          .67
03/02 11:30-03/25 17:15,              1,Response Time Per Txn - CentiSeconds Per Txn                               ,        5.01,         2.98,         .96,         1.34,          1.21,          .07
03/02 11:30-03/25 17:15,              2,Response Time Per Txn - CentiSeconds Per Txn                               ,       46.96,        27.07,        8.53,         6.86,          5.28,           .8
03/02 11:30-03/25 17:15,              3,Response Time Per Txn - CentiSeconds Per Txn                               ,       49.07,        32.14,        6.76,         8.97,          5.61,         1.21
03/02 11:30-03/25 17:15,              4,Response Time Per Txn - CentiSeconds Per Txn                               ,       34.06,        18.44,        7.56,         3.73,          2.61,          .39
03/02 12:00-03/25 18:00,              1,Response Time Per Txn - CentiSeconds Per Txn                               ,        6.08,            3,        1.15,         1.35,          1.19,          .07
03/02 12:00-03/25 18:00,              2,Response Time Per Txn - CentiSeconds Per Txn                               ,       45.48,        27.47,        8.36,         8.53,          5.38,         1.26
03/02 12:00-03/25 18:00,              3,Response Time Per Txn - CentiSeconds Per Txn                               ,        55.1,        33.43,        8.97,         9.06,           6.6,         1.18
03/02 12:00-03/25 18:00,              4,Response Time Per Txn - CentiSeconds Per Txn                               ,       33.54,        20.03,        6.69,         4.26,          2.89,          .54
03/02 12:30-03/25 18:45,              1,Response Time Per Txn - CentiSeconds Per Txn                               ,        5.64,         3.37,        1.02,         1.31,          1.21,          .05
03/02 12:30-03/25 18:45,              2,Response Time Per Txn - CentiSeconds Per Txn                               ,       42.85,        27.85,         8.2,          6.8,          5.92,          .61
03/02 12:30-03/25 18:45,              3,Response Time Per Txn - CentiSeconds Per Txn                               ,       57.34,        41.42,       10.84,         6.74,          5.53,          .69
03/02 12:30-03/25 18:45,              4,Response Time Per Txn - CentiSeconds Per Txn                               ,       38.42,        23.08,        8.23,         7.74,          3.44,         1.44
03/02 13:00-03/25 19:30,              1,Response Time Per Txn - CentiSeconds Per Txn                               ,        4.98,         3.01,         .63,         1.33,          1.23,          .06
03/02 13:00-03/25 19:30,              2,Response Time Per Txn - CentiSeconds Per Txn                               ,       57.33,        28.08,       10.33,        10.03,          7.17,         1.15
03/02 13:00-03/25 19:30,              3,Response Time Per Txn - CentiSeconds Per Txn                               ,       75.72,        54.09,       16.88,         6.19,          5.02,          .66
03/02 13:00-03/25 19:30,              4,Response Time Per Txn - CentiSeconds Per Txn                               ,       41.66,        19.83,        8.06,         6.17,          3.04,         1.15
03/02 13:30-03/25 20:15,              1,Response Time Per Txn - CentiSeconds Per Txn                               ,         3.8,         3.45,         .25,         1.52,          1.31,          .12
03/02 13:30-03/25 20:15,              2,Response Time Per Txn - CentiSeconds Per Txn                               ,       35.69,        24.26,        6.63,         6.91,          5.93,           .7
03/02 13:30-03/25 20:15,              3,Response Time Per Txn - CentiSeconds Per Txn                               ,       69.72,        49.35,       11.47,         8.09,          6.03,          .85
03/02 13:30-03/25 20:15,              4,Response Time Per Txn - CentiSeconds Per Txn                               ,       40.22,        21.33,        7.62,         5.71,          3.04,          .84
03/02 14:00-03/25 21:00,              1,Response Time Per Txn - CentiSeconds Per Txn                               ,        5.29,         3.69,         .55,         1.27,           1.2,          .06
03/02 14:00-03/25 21:00,              2,Response Time Per Txn - CentiSeconds Per Txn                               ,       31.33,        22.37,        4.18,         7.05,          5.43,          .92
03/02 14:00-03/25 21:00,              3,Response Time Per Txn - CentiSeconds Per Txn                               ,       46.88,        37.67,        7.79,         7.89,           5.9,          .81
03/02 14:00-03/25 21:00,              4,Response Time Per Txn - CentiSeconds Per Txn                               ,       21.78,        17.31,        3.17,         5.12,          3.17,          .97
03/02 14:30-03/25 21:45,              1,Response Time Per Txn - CentiSeconds Per Txn                               ,        5.17,         4.38,         .45,         1.42,           1.2,           .1
03/02 14:30-03/25 21:45,              2,Response Time Per Txn - CentiSeconds Per Txn                               ,       61.43,        30.25,        9.97,         8.37,          6.04,          .91
03/02 14:30-03/25 21:45,              3,Response Time Per Txn - CentiSeconds Per Txn                               ,       44.54,        27.93,        7.92,         7.72,          5.05,         1.16
03/02 14:30-03/25 21:45,              4,Response Time Per Txn - CentiSeconds Per Txn                               ,        44.8,        27.36,        9.96,         7.99,          3.64,         1.79
03/02 15:00-03/25 22:30,              1,Response Time Per Txn - CentiSeconds Per Txn                               ,        5.96,         4.79,         .72,          1.2,           1.1,          .07
03/02 15:00-03/25 22:30,              2,Response Time Per Txn - CentiSeconds Per Txn                               ,       40.53,        27.95,        5.59,         6.48,          4.99,          .89
03/02 15:00-03/25 22:30,              3,Response Time Per Txn - CentiSeconds Per Txn                               ,       50.32,        37.22,        9.05,         6.16,          5.14,          .62
03/02 15:00-03/25 22:30,              4,Response Time Per Txn - CentiSeconds Per Txn                               ,       36.97,           23,        5.44,         3.68,          2.61,           .5
03/02 15:30-03/25 23:15,              1,Response Time Per Txn - CentiSeconds Per Txn                               ,        5.68,         4.65,         .61,         1.21,          1.08,          .08
03/02 15:30-03/25 23:15,              2,Response Time Per Txn - CentiSeconds Per Txn                               ,       29.95,        22.81,        4.46,         9.75,          5.22,         1.47
03/02 15:30-03/25 23:15,              3,Response Time Per Txn - CentiSeconds Per Txn                               ,       46.89,        28.92,        8.26,         6.12,          4.79,         1.02
03/02 15:30-03/25 23:15,              4,Response Time Per Txn - CentiSeconds Per Txn                               ,       27.74,        23.14,        4.62,         3.46,          2.51,          .42
03/02 16:00-03/26 00:00,              1,Response Time Per Txn - CentiSeconds Per Txn                               ,        6.67,         5.57,         .62,         1.33,          1.17,          .11
03/02 16:00-03/26 00:00,              2,Response Time Per Txn - CentiSeconds Per Txn                               ,       47.54,        31.32,         9.1,         6.31,          4.28,          .79
03/02 16:00-03/26 00:00,              3,Response Time Per Txn - CentiSeconds Per Txn                               ,       37.54,        25.44,        5.83,          6.3,          4.69,          .87
