
RN                     ,INSTANCE_NUMBER,METRIC_NAME_UNIT                                                           ,FIRST_MAXVAL,FIRST_AVERAGE,FIRST_STDDEV,SECOND_MAXVAL,SECOND_AVERAGE,SECOND_STDDEV
03/03 22:00-03/27 21:00,              1,Response Time Per Txn - CentiSeconds Per Txn                               ,        8.42,         5.51,         .94,          1.3,          1.22,          .05
03/03 22:00-03/27 21:00,              2,Response Time Per Txn - CentiSeconds Per Txn                               ,       32.58,        22.99,        5.16,        10.07,          6.77,         1.36
03/03 22:00-03/27 21:00,              3,Response Time Per Txn - CentiSeconds Per Txn                               ,       32.16,         20.5,        4.71,          5.4,          4.43,          .54
03/03 22:00-03/27 21:00,              4,Response Time Per Txn - CentiSeconds Per Txn                               ,       33.96,        22.84,         5.2,         3.62,          2.36,          .76
03/03 22:30-03/27 21:45,              1,Response Time Per Txn - CentiSeconds Per Txn                               ,        6.86,          5.4,         .82,         1.34,          1.17,          .08
03/03 22:30-03/27 21:45,              2,Response Time Per Txn - CentiSeconds Per Txn                               ,       24.86,        18.68,        2.54,         5.68,          4.56,          .92
03/03 22:30-03/27 21:45,              3,Response Time Per Txn - CentiSeconds Per Txn                               ,       25.12,        20.87,        2.68,          6.7,           5.2,          .73
03/03 22:30-03/27 21:45,              4,Response Time Per Txn - CentiSeconds Per Txn                               ,       26.29,        19.46,        3.69,         3.18,          1.96,          .59
03/03 23:00-03/27 22:30,              1,Response Time Per Txn - CentiSeconds Per Txn                               ,         5.6,         4.66,         .58,         1.24,          1.11,          .06
03/03 23:00-03/27 22:30,              2,Response Time Per Txn - CentiSeconds Per Txn                               ,       28.96,        17.18,        3.96,         6.51,          4.72,         1.08
03/03 23:00-03/27 22:30,              3,Response Time Per Txn - CentiSeconds Per Txn                               ,        26.7,        20.79,        4.92,         6.36,          4.94,          .81
03/03 23:00-03/27 22:30,              4,Response Time Per Txn - CentiSeconds Per Txn                               ,       24.16,        17.27,        2.97,         3.54,          1.96,          .65

380 rows selected.

